Entry Date;Property type;Tipology;Condition;Location;Price;Areas (sqm);euros/sqm;Built year;Latitude;Longitude;Characteristics;Mister URL;;;;;;;;;;;
20/07/20;Apartments;T2;Used;Aveiro,Aveiro,Aradas;145000;96 sqm;1518;;;;;http://primeavm.prime-yield.com/property/5788813;;;;;;;;;;;
20/07/20;Apartments;T2;Used;Aveiro,Aveiro,Aradas;155000;119 sqm;1303;;;;;http://primeavm.prime-yield.com/property/5788814;;;;;;;;;;;
20/07/20;Apartments;T2;Used;Aveiro,Aveiro,Aradas;118000;72 sqm;1639;;;;;http://primeavm.prime-yield.com/property/5788815;;;;;;;;;;;
20/07/20;Apartments;T2;Used;Aveiro,Aveiro,Aradas;185000;90 sqm;2056;;;;;http://primeavm.prime-yield.com/property/5788816;;;;;;;;;;;
20/07/20;Apartments;T2;New;Aveiro,Aveiro,Aradas;295000;126 sqm;2351;;;;;http://primeavm.prime-yield.com/property/5788817;;;;;;;;;;;
20/07/20;Apartments;T2;New;Aveiro,Aveiro,Aradas;305000;125 sqm;2440;;;;;http://primeavm.prime-yield.com/property/5788818;;;;;;;;;;;
20/07/20;Apartments;T2;Used;Aveiro,Aveiro,Aradas;285000;110 sqm;2591;;;;;http://primeavm.prime-yield.com/property/5788819;;;;;;;;;;;
20/07/20;Apartments;T2;Used;Aveiro,Aveiro,Aradas;183000;122 sqm;1502;;;;;http://primeavm.prime-yield.com/property/5788820;;;;;;;;;;;
20/07/20;Apartments;T1;New;Aveiro,Aveiro,Aradas;130000;60 sqm;2167;;;;;http://primeavm.prime-yield.com/property/5788821;;;;;;;;;;;
20/07/20;Apartments;T2;New;Aveiro,Aveiro,Aradas;145000;95 sqm;1526;;;;;http://primeavm.prime-yield.com/property/5788822;;;;;;;;;;;
20/07/20;Apartments;T2;New;Aveiro,Aveiro,Aradas;295000;140 sqm;2107;;;;;http://primeavm.prime-yield.com/property/5788823;;;;;;;;;;;
20/07/20;Apartments;T1;Used;Aveiro,Aveiro,Aradas;139900;71 sqm;1970;;;;;http://primeavm.prime-yield.com/property/5788824;;;;;;;;;;;
