Entry Date;Property type;Tipology;Condition;Condition;Location;Price;Areas (sqm);€/sqm;Built year;Distance;Latitude;Longitude;Characteristics
21/02/21;Houses;T4;Used;Used;Aveiro,Ílhavo,Gafanha da Encarnação;570000;175;3257,14;;;;;
21/02/21;Houses;T3;Used;Used;Aveiro,Ílhavo,Gafanha da Encarnação;320000;258;1240,31;;;;;
21/02/21;Houses;T3;Used;Used;Aveiro,Ílhavo,Gafanha da Encarnação;315000;140;2250,00;;;;;
21/02/21;Houses;T4;Used;Used;Aveiro,Ílhavo,Gafanha da Encarnação;237000;194;1221,65;;;;;
21/02/21;Houses;T4;Used;Used;Aveiro,Ílhavo,Gafanha da Encarnação;580000;193;3005,18;;;;;
21/02/21;Houses;T3;Used;Used;Aveiro,Ílhavo,Gafanha da Encarnação;750000;240;3125,00;;;;;
21/02/21;Houses;T4;Used;Used;Aveiro,Ílhavo,Gafanha da Encarnação;375000;97,9;3830,44;;;;;
21/02/21;Houses;T4;Used;Used;Aveiro,Ílhavo,Gafanha da Encarnação;320000;286;1118,88;;;;;
21/02/21;Houses;T3;Used;Used;Aveiro,Ílhavo,Gafanha da Encarnação;375000;180;2083,33;;;;;
21/02/21;Houses;T3;Used;Used;Aveiro,Ílhavo,Gafanha da Encarnação;375000;97,9;3830,44;;;;;
21/02/21;Houses;T3;Used;Used;Aveiro,Ílhavo,Gafanha da Encarnação;400000;154,68;2585,98;;;;;
21/02/21;Houses;T3;Used;Used;Aveiro,Ílhavo,Gafanha da Encarnação;400000;256;1562,50;;;;;
21/02/21;Houses;T3;Used;Used;Aveiro,Ílhavo,Gafanha da Encarnação;265500;143;1856,64;;;;;
21/02/21;Houses;T3;Used;Used;Aveiro,Ílhavo,Gafanha da Encarnação;420000;235;1787,23;;;;;
21/02/21;Houses;T4;Used;Used;Aveiro,Ílhavo,Gafanha da Encarnação;298000;241;1236,51;;;;;
21/02/21;Houses;T3;Used;Used;Aveiro,Ílhavo,Gafanha da Encarnação;420000;119;3529,41;;;;;
21/02/21;Houses;T3;Used;Used;Aveiro,Ílhavo,Gafanha da Encarnação;400000;294;1360,54;;;;;
21/02/21;Houses;T4;Used;Used;Aveiro,Ílhavo,Gafanha da Encarnação;450000;342;1315,79;;;;;
21/02/21;Houses;T3;Used;Used;Aveiro,Ílhavo,Gafanha da Encarnação;375000;121;3099,17;;;;;
21/02/21;Houses;T3;Used;Used;Aveiro,Ílhavo,Gafanha da Encarnação;450000;235;1914,89;;;;;
21/02/21;Houses;T3;Used;Used;Aveiro,Ílhavo,Gafanha da Encarnação;400000;154;2597,40;;;;;
21/02/21;Houses;T2;Used;Used;Aveiro,Ílhavo,Gafanha da Encarnação;459000;134;3425,37;;;;;
21/02/21;Houses;T3;Used;Used;Aveiro,Ílhavo,Gafanha da Encarnação;420000;260;1615,38;;;;;
21/02/21;Houses;T3;Used;Used;Aveiro,Ílhavo,Gafanha da Encarnação;260000;287,1;905,61;;;;;
21/02/21;Houses;T3;Used;Used;Aveiro,Ílhavo,Gafanha da Encarnação;375000;98;3826,53;;;;;
21/02/21;Houses;T4;Used;Used;Aveiro,Ílhavo,Gafanha da Encarnação;550000;400;1375,00;;;;;
21/02/21;Houses;T4;Used;Used;Aveiro,Ílhavo,Gafanha da Encarnação;295000;90;3277,78;;;;;
21/02/21;Houses;T3;Used;Used;Aveiro,Ílhavo,Gafanha da Encarnação;400000;227;1762,11;;;;;
21/02/21;Houses;T3;Used;Used;Aveiro,Ílhavo,Gafanha da Encarnação;420000;256;1640,63;;;;;
21/02/21;Houses;T3;Used;Used;Aveiro,Ílhavo,Gafanha da Encarnação;199000;176;1130,68;;;;;
21/02/21;Houses;T2;Used;Used;Aveiro,Ílhavo,Gafanha da Encarnação;375000;190;1973,68;;;;;
21/02/21;Houses;T3;Used;Used;Aveiro,Ílhavo,Gafanha da Encarnação;195000;80;2437,50;;;;;
21/02/21;Houses;T3;Used;Used;Aveiro,Ílhavo,Gafanha da Encarnação;250000;200;1250,00;;;;;
21/02/21;Houses;T3;Used;Used;Aveiro,Ílhavo,Gafanha da Encarnação;420000;274;1532,85;;;;;
21/02/21;Houses;T3;Used;Used;Aveiro,Ílhavo,Gafanha da Encarnação;454000;134;3388,06;;;;;
21/02/21;Houses;T3;Used;Used;Aveiro,Ílhavo,Gafanha da Encarnação;420000;269;1561,34;;;;;
21/02/21;Houses;T3;Used;Used;Aveiro,Ílhavo,Gafanha da Encarnação;425000;200;2125,00;;;;;
21/02/21;Houses;T3;Used;Used;Aveiro,Ílhavo,Gafanha da Encarnação;230000;192;1197,92;;;;;
21/02/21;Houses;T3;Used;Used;Aveiro,Ílhavo,Gafanha da Encarnação;344000;192;1791,67;;;;;
21/02/21;Houses;T4;Used;Used;Aveiro,Ílhavo,Gafanha da Encarnação;250000;200;1250,00;;;;;
21/02/21;Houses;T4;Used;Used;Aveiro,Ílhavo,Gafanha da Encarnação;700000;140;5000,00;;;;;
21/02/21;Houses;T3;Used;Used;Aveiro,Ílhavo,Gafanha da Encarnação;230000;180;1277,78;;;;;
21/02/21;Houses;T3;Used;Used;Aveiro,Ílhavo,Gafanha da Encarnação;850000;280;3035,71;;;;;
16/02/21;Houses;T4;Used;Used;Aveiro,Ílhavo,Gafanha da Nazaré;285000;227;1255,51;;;;;
16/02/21;Houses;T4;Used;Used;Aveiro,Ílhavo,Gafanha da Nazaré;260000;177,84;1461,99;;;;;
16/02/21;Houses;T4;Used;Used;Aveiro,Ílhavo,Gafanha da Nazaré;295000;277;1064,98;;;;;
16/02/21;Houses;T4;Used;Used;Aveiro,Ílhavo,Gafanha da Nazaré;675000;463;1457,88;;;;;
16/02/21;Houses;T4;Used;Used;Aveiro,Ílhavo,Gafanha da Nazaré;385000;272;1415,44;;;;;
16/02/21;Houses;T4;Used;Used;Aveiro,Ílhavo,Gafanha da Nazaré;290000;187;1550,80;;;;;
16/02/21;Houses;T4;Used;Used;Aveiro,Ílhavo,Gafanha da Nazaré;290000;207;1400,97;;;;;
16/02/21;Houses;T4;Used;Used;Aveiro,Ílhavo,Gafanha da Nazaré;330000;240;1375,00;;;;;
16/02/21;Houses;T4;Used;Used;Aveiro,Ílhavo,Gafanha da Nazaré;255000;215,36;1184,06;;;;;
